LotDescription,Return Month,EvidencedSpend,Sector,SME or Large,,SupplierName,CustomerName
Specialist Cloud Services,01/01/2014,8121.54,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/02/2014,9861.87,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/02/2014,10497.25,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/02/2014,13864.77,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/02/2014,14696.15,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/02/2014,10928.22,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2014,10497.25,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2014,15884,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2014,12928.24,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2014,2486.2,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/12/2013,650,Central Government,Large,,SPECIALIST COMPUTER CENTRE,Cabinet Office
Specialist Cloud Services,01/12/2013,10500,Central Government,Large,,SPECIALIST COMPUTER CENTRE,Cabinet Office
Specialist Cloud Services,01/11/2013,10120.5,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/12/2013,7717.99,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/03/2014,2444.0175,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/09/2013,5667.48,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/09/2013,3883.05,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/09/2013,4772.6,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/09/2013,4966.5,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/09/2013,5965.68,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/09/2013,5220.04,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/11/2013,11718.4,Central Government,SME,,Parity Group PLC,Office for National Statistics
Specialist Cloud Services,01/12/2013,750,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,1300,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/09/2013,23220,Education,SME,,UNBOXED CONSULTING,University of Plymouth
Specialist Cloud Services,01/09/2013,23220,Education,SME,,UNBOXED CONSULTING,University of Plymouth
Specialist Cloud Services,01/10/2013,10995.86,Education,SME,,UNBOXED CONSULTING,University of Plymouth
Specialist Cloud Services,01/10/2013,6580.51,Education,SME,,UNBOXED CONSULTING,University of Plymouth
Specialist Cloud Services,01/12/2013,11610,Education,SME,,UNBOXED CONSULTING,University of Plymouth
Specialist Cloud Services,01/02/2014,31971,Education,SME,,UNBOXED CONSULTING,University of Plymouth
Specialist Cloud Services,01/09/2013,3870,Education,SME,,UNBOXED CONSULTING,University of Plymouth
Specialist Cloud Services,01/03/2014,22207.8125,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/11/2013,9463.75,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/03/2014,10806.25,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/03/2014,11488.75,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/01/2014,16750,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/02/2014,7690.3125,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/12/2013,11725,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/12/2013,11488.75,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/01/2014,12910.625,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/02/2014,20076.875,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/12/2013,8815.625,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/01/2014,12000.625,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/02/2014,3071.25,Central Government,Large,,Sapient Ltd,Department of Health
Specialist Cloud Services,01/12/2013,6750,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/12/2013,6000,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/12/2013,3900,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,11050,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/12/2013,54600,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,6300,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,5460,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/12/2013,9750,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,6750,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,6000,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,3900,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/02/2014,9750,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,5600,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/12/2013,5850,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/02/2014,6750,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/02/2014,6000,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/02/2014,3900,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/02/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,3640,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/12/2013,1300,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,5850,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/01/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/02/2014,5850,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,9100,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/03/2014,0,Health,SME,,Atchai LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/02/2014,3222,Central Government,SME,,MEDLEY BUSINESS SOLUTIONS LTD,Home Office
Specialist Cloud Services,01/02/2014,32076,Central Government,SME,,MEDLEY BUSINESS SOLUTIONS LTD,Home Office
Specialist Cloud Services,01/02/2014,21056,Central Government,SME,,MEDLEY BUSINESS SOLUTIONS LTD,Home Office
Specialist Cloud Services,01/12/2013,15911.7,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/02/2014,12198.97,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2014,10607.8,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2014,12294.04,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/01/2014,7590,Central Government,SME,,Mentis MC Ltd,Ministry of Justice
Specialist Cloud Services,01/12/2013,10653,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/01/2014,7989.75,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/01/2014,13290.42,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/02/2014,6924.45,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/03/2014,10653,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/02/2014,12082.2,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,12082.2,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/03/2014,12082.2,Central Government,Large,,LA International Computer Consultants Ltd,Office for National Statistics
Specialist Cloud Services,01/12/2013,5100,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,375,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,637.5,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,12750,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/03/2014,7800,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/03/2014,5532.8,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/03/2014,8320,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/12/2013,14450,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,750,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,425,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,425,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,212.5,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Bury Metropolitan Borough Council
Specialist Cloud Services,01/12/2013,162.5,Local Government,Large,,SPECIALIST COMPUTER CENTRE,The Royal Borough of Windsor and Maidenhead
Specialist Cloud Services,01/12/2013,12090,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/12/2013,5532.8,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/01/2014,5809.44,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/01/2014,10530,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/02/2014,7800,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/12/2013,425,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,212.5,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,650,Local Government,Large,,SPECIALIST COMPUTER CENTRE,The Royal Borough of Windsor and Maidenhead
Specialist Cloud Services,01/12/2013,162.5,Local Government,Large,,SPECIALIST COMPUTER CENTRE,The Royal Borough of Windsor and Maidenhead
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,425,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,637.5,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,212.5,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Walsall Metropolitan Borough Council
Specialist Cloud Services,01/03/2014,6000,Central Government,SME,,Agile Byte Limited,Foreign And Commonwealth Office
Specialist Cloud Services,01/02/2014,8382.3,Central Government,Large,,LA International Computer Consultants Ltd,Foreign And Commonwealth Office
Specialist Cloud Services,01/12/2013,375,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,2000,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,5950,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/12/2013,150,Central Government,Large,,SCC (Specialist Computer Centre),Civil Aviation Authority
Specialist Cloud Services,01/02/2014,5532.8,Health,Large,,LA International Computer Consultants Ltd,Sussex Partnership NHS Foundation Trust
Specialist Cloud Services,01/12/2013,425,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,425,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,425,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,637.5,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Northumberland County Council
Specialist Cloud Services,01/12/2013,162.5,Local Government,Large,,SPECIALIST COMPUTER CENTRE,The Royal Borough of Windsor and Maidenhead
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Walsall Metropolitan Borough Council
Specialist Cloud Services,01/12/2013,850,Local Government,Large,,SCC (Specialist Computer Centre),Walsall Metropolitan Borough Council
Specialist Cloud Services,01/02/2014,13860,Central Government,SME,,Mentis MC Ltd,Ministry of Justice
Specialist Cloud Services,01/09/2013,59627.6,Central Government,SME,,Acuma Solutions Limited,Home Office
Specialist Cloud Services,01/09/2013,9767.5,Central Government,SME,,Acuma Solutions Limited,Home Office
Specialist Cloud Services,01/09/2013,94047.5,Central Government,SME,,Acuma Solutions Limited,Home Office
Specialist Cloud Services,01/09/2013,49120,Central Government,SME,,Acuma Solutions Limited,Home Office
Specialist Cloud Services,01/09/2013,2957.5,Central Government,SME,,Acuma Solutions Limited,Home Office
Specialist Cloud Services,01/09/2013,33800,Central Government,SME,,Acuma Solutions Limited,Home Office
Specialist Cloud Services,01/09/2013,51250,Central Government,SME,,Acuma Solutions Limited,Home Office
Specialist Cloud Services,01/08/2013,23754,Health,SME,,Channel 3 Consulting LTD,University Hospitals of Leicester NHS Trust
Specialist Cloud Services,01/11/2013,59706,Health,SME,,Channel 3 Consulting LTD,University Hospitals of Leicester NHS Trust
Specialist Cloud Services,01/02/2014,20935,Central Government,SME,,Affinity Digital (Tech) Ltd,HM Revenue and Customs
Specialist Cloud Services,01/12/2013,38710,Central Government,SME,,Affinity Digital (Tech) Ltd,Cabinet Office
Specialist Cloud Services,01/10/2013,18960,Central Government,SME,,Affinity Digital (Tech) Ltd,Cabinet Office
Specialist Cloud Services,01/09/2013,11850,Central Government,SME,,Affinity Digital (Tech) Ltd,Cabinet Office
Specialist Cloud Services,01/08/2013,11850,Central Government,SME,,Affinity Digital (Tech) Ltd,Cabinet Office
Specialist Cloud Services,01/10/2013,3000,Education,SME,,4C Strategies Ltd,University of Westminster
Specialist Cloud Services,01/12/2013,4500,Education,SME,,4C Strategies Ltd,University of Westminster
Specialist Cloud Services,01/03/2014,5250,Education,SME,,4C Strategies Ltd,University of Westminster
Specialist Cloud Services,01/10/2013,4080,Central Government,SME,,SystemsUp td,Maritime and Coastguard Agency
Specialist Cloud Services,01/10/2013,2609.67,Local Government,SME,,Digirati,Bristol City Council
Specialist Cloud Services,01/07/2013,15752,Central Government,SME,,MEDLEY BUSINESS SOLUTIONS LTD,Home Office
Specialist Cloud Services,01/08/2013,16110,Central Government,SME,,MEDLEY BUSINESS SOLUTIONS LTD,Home Office
Specialist Cloud Services,01/09/2013,22554,Central Government,SME,,MEDLEY BUSINESS SOLUTIONS LTD,Home Office
Specialist Cloud Services,01/06/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,3539.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,5952.375,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,7078.5,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,6756.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,7158.9375,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,3378.375,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,5148,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,6756.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,9405,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,11385,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,8910,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,7400.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,5791.5,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,7400.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,5148,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,4504.5,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-5445,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9157.5,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,4182.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6113.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,7400.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,8043.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6595.875,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,5469.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,7400.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6113.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,6756.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,44955,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/07/2013,50726.25,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/06/2013,51333.75,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/06/2013,24907.5,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/03/2013,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/03/2013,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/03/2013,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/03/2013,8910,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,10147.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/12/2012,3960,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/12/2012,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,10147.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,9652.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,6930,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,8910,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/08/2012,5940,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/08/2012,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/08/2012,6435,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/09/2012,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/09/2012,8415,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/10/2012,71280,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/02/2013,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,11270,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/01/2013,11270,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/01/2013,9310,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/03/2013,8910,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,11137.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,8415,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,3465,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,2970,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,10147.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/12/2012,7920,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/12/2012,5940,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,10890,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/07/2012,6435,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/07/2012,3465,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/07/2012,3465,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/09/2012,2475,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/09/2012,4207.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/02/2013,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/02/2013,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/02/2013,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/02/2013,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/06/2013,6615,Health,Large,,BJSS LTD,City and Hackney Pct Com
Specialist Cloud Services,01/03/2013,8910,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/03/2013,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/03/2013,9652.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,10395,Health,Large,,BJSS LTD,NHS Connecting for Health
